Date,Open,High,Low,Close,Adj Close,Volume
2022-08-23,12885.280273,13000.709961,12852.700195,12881.790039,12881.790039,3836180000
2022-08-24,12876.230469,12995.139648,12843.580078,12917.860352,12917.860352,3917170000
2022-08-25,12984.740234,13146.839844,12951.610352,13143.580078,13143.580078,4323470000
2022-08-26,13129.910156,13175.250000,12603.410156,12605.169922,12605.169922,4530000000
2022-08-29,12488.459961,12594.339844,12440.400391,12484.320313,12484.320313,4209850000
2022-08-30,12562.400391,12572.879883,12240.820313,12342.700195,12342.700195,4681520000
2022-08-31,12448.070313,12502.150391,12268.080078,12272.030273,12272.030273,4952010000
2022-09-01,12158.879883,12290.330078,12012.980469,12274.620117,12274.620117,4792890000
2022-09-02,12392.459961,12451.280273,12035.530273,12098.440430,12098.440430,4257410000
2022-09-06,12106.570313,12152.419922,11928.809570,12011.309570,12011.309570,4622940000
2022-09-07,12038.179688,12298.120117,12026.980469,12259.389648,12259.389648,4445640000
2022-09-08,12139.570313,12374.129883,12120.259766,12321.190430,12321.190430,4329910000
2022-09-09,12424.150391,12610.429688,12424.150391,12588.290039,12588.290039,4401590000
2022-09-12,12649.230469,12752.830078,12639.759766,12739.719727,12739.719727,4146680000
2022-09-13,12364.830078,12420.009766,12004.419922,12033.620117,12033.620117,5188380000
2022-09-14,12092.030273,12170.250000,12016.429688,12134.400391,12134.400391,4861530000
2022-09-15,12034.429688,12153.339844,11867.879883,11927.490234,11927.490234,4805910000
2022-09-16,11775.940430,11875.089844,11710.259766,11861.379883,11861.379883,7451840000
2022-09-19,11753.599609,11956.790039,11752.429688,11953.269531,11953.269531,4168670000
2022-09-20,11855.839844,11951.129883,11761.690430,11851.540039,11851.540039,4028100000
2022-09-21,11892.719727,12062.519531,11636.250000,11637.790039,11637.790039,4471000000
2022-09-22,11574.320313,11617.990234,11448.860352,11501.650391,11501.650391,4916470000
2022-09-23,11398.750000,11402.410156,11169.660156,11311.240234,11311.240234,5134350000
2022-09-26,11283.139648,11473.360352,11235.740234,11254.110352,11254.110352,4697730000
2022-09-27,11411.339844,11502.379883,11175.290039,11271.750000,11271.750000,4445050000
2022-09-28,11258.740234,11546.870117,11210.809570,11493.830078,11493.830078,4556100000
2022-09-29,11334.570313,11339.910156,11038.940430,11164.780273,11164.780273,4516630000
2022-09-30,11123.110352,11296.160156,10966.950195,10971.219727,10971.219727,4649710000
2022-10-03,11059.169922,11296.429688,10985.009766,11229.730469,11229.730469,4415440000
2022-10-04,11477.849609,11609.250000,11462.370117,11582.540039,11582.540039,5004780000
2022-10-05,11429.469727,11647.620117,11312.519531,11573.179688,11573.179688,4091860000
2022-10-06,11556.400391,11660.549805,11472.830078,11485.500000,11485.500000,4423320000
2022-10-07,11272.459961,11293.650391,10991.660156,11039.469727,11039.469727,4634190000
2022-10-10,11048.509766,11063.209961,10824.250000,10926.969727,10926.969727,3989640000
2022-10-11,10865.320313,10981.910156,10716.330078,10791.349609,10791.349609,4738840000
2022-10-12,10810.299805,10886.490234,10754.849609,10785.620117,10785.620117,4091030000
2022-10-13,10481.580078,11087.660156,10440.639648,11033.580078,11033.580078,5300080000
2022-10-14,11130.080078,11152.889648,10677.480469,10692.059570,10692.059570,4393000000
2022-10-17,10967.250000,11090.870117,10959.740234,11062.530273,11062.530273,4439190000
2022-10-18,11368.759766,11374.379883,11035.799805,11147.740234,11147.740234,5047360000
2022-10-19,11081.820313,11231.459961,11008.110352,11103.379883,11103.379883,4955090000
2022-10-20,11081.219727,11279.809570,11001.280273,11046.709961,11046.709961,4628010000
2022-10-21,10998.169922,11327.769531,10962.009766,11310.330078,11310.330078,4706440000
2022-10-24,11321.110352,11468.179688,11166.490234,11430.259766,11430.259766,4808710000
2022-10-25,11482.870117,11681.849609,11480.410156,11669.990234,11669.990234,5141760000
